duration_years,cost_impact_gbp_millions,qaly_impact_thousands
0.25,2.5,-0.9333333333333333
0.5,4.166666666666667,-1.5666666666666667
0.75,5.666666666666667,-2.1
1.0,7.333333333333333,-2.566666666666667
1.25,8.833333333333334,-2.966666666666667
1.5,10.166666666666666,-3.3333333333333335
1.75,11.5,-3.6333333333333333
2.0,12.833333333333334,-3.9
2.25,13.833333333333334,-4.133333333333334
2.5,15.0,-4.333333333333333
2.75,16.083333333333332,-4.533333333333333
3.0,17.166666666666668,-4.7
3.25,18.0,-4.866666666666666
3.5,18.833333333333332,-5.0
3.75,19.666666666666668,-5.1
4.0,20.5,-5.2
4.25,21.166666666666668,-5.3
4.5,21.833333333333332,-5.4
4.75,22.5,-5.466666666666667
5.0,23.166666666666668,-5.566666666666666
5.25,23.666666666666668,-5.666666666666667
5.5,24.333333333333332,-5.733333333333333
5.75,24.833333333333332,-5.8
6.0,25.333333333333332,-5.866666666666666
6.25,25.75,-5.933333333333334
6.5,26.166666666666668,-5.983333333333333
6.75,26.666666666666668,-6.033333333333333
7.0,27.0,-6.066666666666666
7.25,27.333333333333332,-6.1
7.5,27.666666666666668,-6.1
7.75,28.0,-6.133333333333334
8.0,28.333333333333332,-6.166666666666667
8.25,28.5,-6.166666666666667
8.5,28.833333333333332,-6.2
8.75,29.0,-6.2
9.0,29.166666666666668,-6.2
9.25,29.333333333333332,-6.2
9.5,29.5,-6.2
9.75,29.666666666666668,-6.233333333333333
10.0,29.666666666666668,-6.233333333333333
